10263_1	2056255	2056303
10163_0	246152	246336
10163_1	246336	246488
7960_0	2283955	2284046
7860_0	2351734	2352031
7760_0	270098	270289
7760_1	270289	270353
7660_0	2678585	2678760
7560_0	1254859	1254962
7560_1	1254962	1255167
7360_0	918817	919017
7260_0	288203	288327
7260_1	288327	288512
7160_0	1602275	1602515
7060_0	1705278	1705368
7060_1	1705368	1705487
7060_2	1705487	1705582
9961_0	1432751	1432810
9961_1	1432810	1432966
9961_2	1432966	1433034
9861_0	423431	423744
9761_0	2197152	2197239
9661_0	1738581	1738891
9561_0	1378290	1378397
9561_1	1378397	1378657
9461_0	562823	563109
6960_0	878345	878414
6960_1	878414	878635
9361_0	2818868	2819002
9361_1	2819002	2819157
6860_0	1500906	1501039
6860_1	1501039	1501183
9261_0	2375670	2375911
9261_1	2375911	2375977
6760_0	2319477	2319698
6760_1	2319698	2319773
9161_0	502814	503125
6660_0	2773148	2773357
6660_1	2773357	2773411
6660_2	2773411	2773498
9061_0	223928	224143
9061_1	224143	224233
6560_0	533965	534161
6560_1	534161	534210
6460_0	183185	183447
11364_0	873038	873128
6360_0	137508	137719
11364_1	873128	873243
11264_0	2113918	2114253
6260_0	40364	40437
6260_1	40437	40506
11164_0	147346	147537
6160_0	1672833	1673022
6160_1	1673022	1673154
11064_0	617868	618162
6060_0	2053640	2053882
6060_1	2053882	2053948
8961_0	78361	78429
8861_0	2803831	2804148
8761_0	1400280	1400606
8661_0	2664215	2664513
8561_0	1383612	1383870
8461_0	1149643	1149752
8461_1	1149752	1149944
10964_0	2302612	2302789
5960_0	1082482	1082609
8361_0	2756345	2756426
8361_1	2756426	2756634
10864_0	1571559	1571751
5860_0	622404	622660
8261_0	2651453	2651774
10764_0	1002119	1002439
5760_0	2584944	2585098
5760_1	2585098	2585154
8161_0	68191	68459
10664_0	528269	528479
5660_0	2105883	2105924
10664_1	528479	528586
5660_1	2105924	2105965
8061_0	2369788	2369902
8061_1	2369902	2370003
10564_0	905110	905164
5560_0	381661	381819
10564_1	905164	905247
5560_1	381819	381866
10564_2	905247	905340
10464_0	1251677	1251831
5460_0	4882	5140
10364_0	1604101	1604316
5360_0	1111478	1111589
10364_1	1604316	1604437
5360_1	1111589	1111791
10264_0	2271525	2271808
5260_0	648169	648389
10164_0	1664707	1664787
5160_0	2604602	2604664
10164_1	1664787	1664963
5160_1	2604664	2604815
10064_0	2663296	2663618
7961_0	2284046	2284127
7961_1	2284127	2284226
7961_2	2284226	2284276
7861_0	2657250	2657404
7861_1	2657404	2657511
7761_0	270353	270602
7661_0	2678312	2678585
7561_0	1255167	1255225
7561_1	1255225	1255426
7561_2	1255426	1255494
7561_3	1255494	1255573
7461_0	1360864	1361092
4960_0	448021	448119
4960_1	448119	448378
7361_0	919017	919134
4860_0	916545	916685
4860_1	916685	916804
7261_0	287609	287689
7261_1	287689	287793
7261_2	287793	287873
4760_0	1773333	1773377
4760_1	1773377	1773439
7161_0	1602515	1602780
4660_0	2228820	2228977
4660_1	2228977	2229026
7061_0	1705010	1705278
4560_0	1144336	1144513
4460_0	1594705	1594900
9962_0	1433034	1433293
4360_0	2478142	2478447
9862_0	2588078	2588259
4260_0	883185	883244
9762_0	2196528	2196653
4160_0	2061878	2061992
4160_1	2061992	2062068
9662_0	2029906	2030144
4060_0	2205088	2205384
9562_0	1378657	1378745
9562_1	1378745	1378860
9462_0	569346	569648
6961_0	878034	878264
6961_1	878264	878345
9362_0	2759288	2759404
9362_1	2759404	2759576
6861_0	1501842	1502123
6861_1	1502123	1502186
9262_0	2375318	2375424
9262_1	2375424	2375611
9262_2	2375611	2375670
6761_0	2319196	2319477
9162_0	1505965	1506069
9162_1	1506069	1506141
9162_2	1506141	1506229
6661_0	2773498	2773668
