5082	4852425	4852799
5083	4852799	4853154
5084	4853154	4854321
5085	4854321	4855275
5086	4855275	4856235
5087	4856235	4857368
5088	4857368	4857673
1070	1044192	1045235
5089	4857673	4858242
1071	1045235	1046283
1072	1046283	1047332
1073	1047332	1048026
1074	1048026	1049047
1075	1049047	1050062
1076	1050062	1051091
1077	1051091	1052092
5090	4858242	4859479
1078	1052092	1053195
5091	4859479	4860452
1079	1053195	1054265
5092	4860452	4861429
5093	4861429	4862356
5094	4862356	4863319
5095	4863319	4864655
5096	4864655	4865637
5097	4865637	4866536
5098	4866536	4867358
1080	1054265	1055334
5099	4867358	4868372
1081	1055334	1056441
1082	1056441	1057562
1083	1057562	1058662
1084	1058662	1059823
1085	1059823	1060857
1086	1060857	1061957
1087	1061957	1063032
1088	1063032	1063479
1089	1063479	1064513
1090	1064513	1065467
1091	1065467	1066528
1092	1066528	1067576
1093	1067576	1068202
1094	1068202	1069245
1095	1069245	1070279
1096	1070279	1071366
1097	1071366	1072455
1098	1072455	1073523
1099	1073523	1074543
9100	8587416	8588419
9101	8588419	8589452
9102	8589452	8590403
9103	8590403	8591397
9104	8591397	8592449
9105	8592449	8593412
9106	8593412	8594446
9107	8594446	8595231
9108	8595231	8596236
9109	8596236	8597111
9110	8597111	8598171
9111	8598171	8599144
9112	8599144	8600152
9113	8600152	8601134
9114	8601134	8602147
9115	8602147	8603154
9116	8603154	8604122
9117	8604122	8605078
9118	8605078	8606054
5100	4868372	4869331
9119	8606054	8606973
5101	4869331	4871021
5102	4871021	4872219
5103	4872219	4872458
5104	4872458	4872720
5105	4872720	4873735
5106	4873735	4874179
5107	4874179	4875180
9120	8606973	8607950
5108	4875180	4876123
9121	8607950	8608994
5109	4876123	4877113
9122	8608994	8609919
9123	8609919	8610862
9124	8610862	8611939
9125	8611939	8613003
9126	8613003	8613974
9127	8613974	8614920
9128	8614920	8615901
5110	4877113	4877785
9129	8615901	8616827
5111	4877785	4878612
5112	4878612	4879570
5113	4879570	4880586
5114	4880586	4881373
5115	4881373	4882278
5116	4882278	4882936
5117	4882936	4883956
9130	8616827	8617653
5118	4883956	4884333
9131	8617653	8618626
1100	1074543	1075656
5119	4884333	4885256
9132	8618626	8619563
1101	1075656	1076713
9133	8619563	8620585
1102	1076713	1077791
9134	8620585	8621479
1103	1077791	1078915
9135	8621479	8622491
1104	1078915	1079774
9136	8622491	8623483
1105	1079774	1080778
9137	8623483	8624424
1106	1080778	1081884
9138	8624424	8625444
1107	1081884	1083003
5120	4885256	4885539
9139	8625444	8626447
1108	1083003	1084080
5121	4885539	4886415
1109	1084080	1085547
5122	4886415	4887407
5123	4887407	4888275
5124	4888275	4889014
5125	4889014	4889944
5126	4889944	4890163
5127	4890163	4891178
9140	8626447	8627474
5128	4891178	4891704
9141	8627474	8628451
1110	1085547	1086579
5129	4891704	4892675
9142	8628451	8629431
1111	1086579	1087622
9143	8629431	8630454
1112	1087622	1088730
9144	8630454	8631573
1113	1088730	1089851
9145	8631573	8632623
1114	1089851	1090819
9146	8632623	8633603
1115	1090819	1091877
9147	8633603	8634586
1116	1091877	1092943
9148	8634586	8635605
1117	1092943	1094043
5130	4892675	4893375
9149	8635605	8636621
1118	1094043	1094806
5131	4893375	4893845
1119	1094806	1095875
5132	4893845	4894770
5133	4894770	4895917
5134	4895917	4896844
5135	4896844	4897673
5136	4897673	4898768
5137	4898768	4899154
9150	8636621	8637518
5138	4899154	4900160
9151	8637518	8638581
1120	1095875	1096776
5139	4900160	4901106
9152	8638581	8639656
1121	1096776	1097178
9153	8639656	8640680
1122	1097178	1098207
9154	8640680	8641679
1123	1098207	1099229
9155	8641679	8642649
1124	1099229	1100220
9156	8642649	8643560
1125	1100220	1101306
9157	8643560	8644578
1126	1101306	1102423
9158	8644578	8645652
1127	1102423	1103461
5140	4901106	4902039
9159	8645652	8646625
1128	1103461	1104324
5141	4902039	4903028
1129	1104324	1105314
5142	4903028	4903975
5143	4903975	4904228
5144	4904228	4904698
5145	4904698	4905346
5146	4905346	4906331
5147	4906331	4907257
9160	8646625	8647588
5148	4907257	4908169
9161	8647588	8648569
1130	1105314	1106303
5149	4908169	4908994
9162	8648569	8649547
1131	1106303	1107350
9163	8649547	8650570
1132	1107350	1107687
9164	8650570	8651214
1133	1107687	1108942
9165	8651214	8652218
1134	1108942	1109957
9166	8652218	8653193
1135	1109957	1110874
9167	8653193	8654093
1136	1110874	1111915
9168	8654093	8655088
1137	1111915	1113027
5150	4908994	4909940
9169	8655088	8656069
1138	1113027	1114144
5151	4909940	4910871
1139	1114144	1115249
5152	4910871	4911852
5153	4911852	4913440
5154	4913440	4914468
5155	4914468	4914979
5156	4914979	4916520
5157	4916520	4917893
9170	8656069	8656943
5158	4917893	4918809
9171	8656943	8658026
1140	1115249	1116428
5159	4918809	4919734
9172	8658026	8659151
1141	1116428	1117409
9173	8659151	8660035
1142	1117409	1118393
9174	8660035	8661054
