1612_0	184348	184648
1893_0	92921	93166
4424_0	1191304	1191439
6571_0	776529	776736
2558_0	1051123	1051296
560_0	269178	269356
7236_0	1503100	1503213
7236_1	1503213	1503411
1351_0	964480	964547
4926_0	1049666	1049774
1351_1	964547	964714
4926_1	1049774	1049995
2016_0	546970	547218
2016_1	547218	547327
4163_0	257184	257431
2297_0	856403	856656
1853_0	228853	228956
1853_1	228956	229123
6531_0	623497	623732
2518_0	1172787	1172928
6531_1	623732	623835
1090_0	99372	99476
520_0	817380	817461
4665_0	1419578	1419791
520_1	817461	817698
4665_1	1419791	1419863
2799_0	526426	526535
1311_0	1782798	1782895
1311_1	1782895	1783020
7477_0	1672127	1672372
1592_0	1955877	1956200
4123_0	813122	813259
6270_0	1055108	1055454
2257_0	1280343	1280392
1813_0	365669	365728
2257_1	1280392	1280584
1813_1	365728	365858
3960_0	151210	151478
5069_0	1022726	1023002
1050_0	72193	72299
4625_0	1283468	1283530
4625_1	1283530	1283696
4625_2	1283696	1283867
6772_0	1252384	1252671
2759_0	119934	120115
2759_1	120115	120234
761_0	206521	206717
7437_0	310367	310619
1552_0	545680	545891
6230_0	1204590	1204685
2217_0	1009465	1009576
6230_1	1204685	1204818
2217_1	1009576	1009830
4364_0	202567	202697
4364_1	202697	202760
3920_0	1793199	1793419
2498_0	495956	496148
2498_1	496148	496314
5029_0	862868	863113
1010_0	907351	907405
1010_1	907405	907513
1010_2	907513	907573
7176_0	347246	347527
6732_0	695536	695787
2719_0	254917	255017
6732_1	695787	695894
2719_1	255017	255261
1291_0	1705940	1706074
4866_0	1265531	1265582
721_0	74555	74906
4866_1	1265582	1265680
7678_0	109498	109851
1793_0	65117	65334
4324_0	419151	419392
4324_1	419392	419448
6471_0	46252	46507
2458_0	931517	931775
6471_1	46507	46595
460_0	1946640	1946853
7136_0	212975	213235
1251_0	1844610	1844782
4826_0	698278	698520
6973_0	1773749	1773814
6973_1	1773814	1774094
6973_2	1774094	1774152
962_0	1263483	1263821
4063_0	1939291	1939547
7638_0	1401612	1401749
7638_1	1401749	1401952
2197_0	1604762	1605053
1753_0	1905266	1905473
2418_0	774868	775119
6431_0	1587299	1587594
420_0	1092466	1092569
4565_0	1942786	1943098
420_1	1092569	1092691
2699_0	163917	164030
2699_1	164030	164179
1211_0	29684	29945
1211_1	29945	30044
7377_0	838352	838498
7377_1	838498	838664
6933_0	1702997	1703182
6933_1	1703182	1703313
1492_0	786891	787058
922_0	577988	578353
1492_1	787058	787123
4023_0	1777693	1777858
4023_1	1777858	1777938
6170_0	246341	246546
2157_0	1456309	1456466
6170_1	246546	246710
2157_1	1456466	1456583
1713_0	1752964	1753111
2157_2	1456583	1456630
3860_0	457216	457563
1994_0	991205	991341
4525_0	823203	823534
2659_0	1702709	1702810
6672_0	1739779	1739863
661_0	449539	449730
661_1	449730	449814
7337_0	81067	81210
7337_1	81210	81351
1452_0	1217488	1217660
6130_0	580855	581062
2117_0	1313053	1313161
4264_0	439270	439564
3820_0	1716372	1716683
2398_0	1626165	1626273
1954_0	124092	124209
2398_1	1626273	1626352
7076_0	583485	583609
6632_0	462561	462669
7076_1	583609	583699
2619_0	1841253	1841465
6632_1	462669	462852
6632_2	462852	462998
